question_id,question_description,answer_category_num,question_description_clean
3504,اسمحولي بالمشاركة و انا بعرفه واول حرف من اسمه جبران باسيل وعمه كمان متله نسونجي     ,Mockery,اسمحولي مشاركه عرف اول حرف اسم جبران باسيل عم كمان متله نسونجي
1107,كنت بدي اكتها لقيت حداً سبقني ,Normal,كان بد كت لقي حدا سبق
5085,ابوك الحرامي طبعا يا عيلة وسخة بلا شرف ولا اخلاق,Mockery,اب حرام ي طبع يا عيل وسخ بلا شرف خلق
2791,كيف وجدتم مقابلة الوزير جبران باسيل على قناة ال  ؟,Normal,وجد مقابل وزير جبران باسيل قناه 
8744,كلنا مع فلسطين ضالمة أو مضلومة,Religious affiliation,كل فلسطين ضالمه او مضلومه
1818,شو عامل فوبيا هل وزير والقائد جبران باسيل اذا بالنهار ما بينجاب سيرتوا الف مرة بيكون في شي غلط يعني هوي صح كذبك,Normal,شو عامل فوبيا وزير قاءد جبران باسيل نهار بينجاب رتا يكون شي غلط عن ني هوه صح كذب
4311,مناسبة اغتيال الصحفي السعودي خاشقجي رحمه الله لايسعني الا ان اقول يلعن روحك يا حافظ على روح ابنك بشار على روح الي خلفك,Mockery,مناسبه اغتيال صحف ي سعودي خاشقجي رحم الله لايسعني قال لعن روح يا حافظ روح ابن بشار روح خلف
3756,مرتزق ايراني ,Normal,مرتزق ايراني
8113,شو خص جبران باسيل ما فهمنا  ,Normal,شو خص جبران باسيل ف هم
4143,نشكر معالي الوزير جبران باسيل ع اختيارو مجال السياسية لانو لولا وجوده كان في كتير اعلاميين مجبورين يقعدوا بالبيت قبل…,Normal,شكر معالي وزير جبران باسيل اختيارو مجال سياسي نوي وجود كتير اعلام ي مجبور قعد بيت قبل 
5097,حيوان هوي وحذبو معوّدين عالزحف والتزقيف,Mockery,حيوان هوه وحذبو معود عالزحف والتزقيف
6534,بس بدك تحكي تحكيش متل الخنازير ,Mockery,بد حكي تحكيش متل خنزير
5588,وزير الخارجية جبران باسيل في مقابلته,Normal,وزير خارجي جبران باسيل مقابله
3927,يمكن شريك جبران باسيل,Normal,شريك جبران باسيل
4859,يا اخواتي هوي عم يحكي عن العرب الخونة يلي مابهمن قضيتن وبقولو لتذهب القضية الي الجحيم انو مو كلامو كلام الناس يلي ماعندا ثقافة مقاومة ونضال ..ارجعوا اسمعو الفيديو مرة تاني بدون سب والله نحنا والفلسطينبن عنا بسوريا خوش بوش مابتعرف مين فلسطيني ومين سوري بهالشارع من كتر مو مختلطين سوا ومنحبن وبحبونا لحمدلله وبعدين لو كان كلامو هوي فهاد رايو مو راي الشعب السوري كلو لحتا تسبونا وتحقدو علينا.. انتو تدافعو عن الفلسطينين لانهم فلسطينين ونحنا كعرب من وقت وعينا عالدني وحب فلسطين فينا بس كل بلد فيه خونة للاسف محد احسن من حدا,Normal,يا اخت هوه عم حكي عرب خاءن مابهمن قضي وبقولو ذهب قضيه جحيم نوي مو كلامو كلام ناس ماعندا ثقافه مقاومه نضال ارجع اسمعو فيديو تاني دون سب الله ناح والفلسطينبن عن سوريا خوش بوش مابتعرف مين فلسطيني ميناء سوري بهالشارع كتر مو مختلط سوا ومنحبن حبو لحمدلله بعد كلامو هوه هادي رايو مو راي شعب سوري كلو لحا سب ي وتحقدو علي انتوي تدافعو الفلسطينين ان سطينين ناح عرب وقت وعي عالدني حب فلسطين في بلد خاءن اسف محد احسن حدا
7595,صار يرسل وفود ابن الجاهلية بس مين سامع بإسمه بفنزويلا   ,Normal,ارسل وفد ابن جاهليه مين سامع اسم ف نزولا
585,وتعقيباً عل موضوع خدو خبارهم من زغارهم ,Normal,تعقيب موضوع خدو خبارهم زغارهم
1593,ولااااااااااا طهر نيعك قبل ما تجيب اسم البيك يا صعلوك ,Mockery,ولااااااااااا طهر نيع اجاب اسم لبي يا صعلوك
766,غلط كل هدول كرمال جبران باسيل,Normal,غلط هدول رمل جبران باسيل
7500,تفيييييي على أحسن شيخ بسوريا ازا ما بدهن حرق العمى هدول باعو آخرتهم بدنياهم,Racist,تفيييييي احسن شيخ سوريا از بد حرق عم ي هدول باعو اخره دنيا
2253,كلمة تشبيح ماركة مسجلة لمؤيدي طرطور فارس بسوريا وطراطيره بمتصرفية لبنان بدولة فارس ,Normal,كلمه تشبيح ماركه مسجل مءيد طرطور فارس سوريا طرطور متصرف ي لبنان دوله فارس
6864,القمة التنموية أقرت اقتراحا لبنانيا مهما في شأن أزمة النازحين واللاجئين سيذيعه وزير الخارجية والمغتربين في حكومة تصريف ا…,Normal,قمه تنموي اقر اقتراح لبناني شان ازمه نازح لاجء اذاع وزير خارجي مغترب حكومه تصريف ا 
926,يا معلمنا يطولنا بعمرك ,Normal,يا معلم طول عمر
3218,انت طلعت صرماية فعلا العقاب لوهاب وهاب قاتل ابو دياب ,Mockery,طلع صرمايه فعل عقاب وهاب وهاب قاتل دياب
1166,لا يا دحوم لييييييش البلوك حرام عليك,Normal,يا دحوم لييييييش بلوك حرام
5924,ومن اللي رجع سفارته في دمشق ؟ اغبياء انتو؟؟؟ ,Mockery,ل ي سفاره دمشق غبي انتوي 
1407,ايمتى موعد خسارة تونس,Normal,امام موعد خساره تونس
6664,قصدك قصر المتاجرين الجدد ,Normal,قصد قصر المتاجرين جديد
4030,مريضة نفسياّ,Mockery,مريض نفس ي
7379,روق يا وءام، يا وءام روق أبقاش تخبّص بالحكي، ركِّز يا أخي و اشرب متّي ,Normal,روق يا وءام يا وءام روق ابقاش خبص بالحكي ركز يا اخ شرب متي
608,الحريمة بتضل حريمة,Normal,الحريمه بتضل حريم
6904,سوري بس شو خصك روح شراب يلي بتحب,Racist,سوري شو خص روح شراب بتحب
6860,كول هوا ياللبناني،،،، انفضحت الله يفضح كل الكلاب اللي مثلك,Racist,كول هوا ياللبناني انفضح الله فضح كلب ل ي مثل
3834,جبران باسيل من الملتقى الاقتصادي العالمي في دافوس ينصح لندن و واشنطن,Normal,جبران باسيل ملتقي اقتصادي عالمي دافوس نصح لندن واشنطون
4568,إسرائيل شر مطلق,Religious affiliation,اسراءيل شر مطلق
8888,اللهم انصرالفلسطينيين في كل مكان,Normal,اللهم انصرالفلسطينيين مكان
4980,اللهم صل وسلم على سيدنا محمد وعلى آله وصحبه أجمعين,Normal,اللهم صل سلم سيد محمد ولي صحبه اجمع
3007,اختشي يالمسترجلة,Mockery,اختشي يالمسترجله
2236,لا يصح إلا الصحيح ,Normal,صح الا صحيح
1770,ويا بهيم ليه ما بتسد بوزك,Mockery,يا بهيم ليه بتسد بوز
4788,الله حيو الأسد ️️️️️,Normal,الله حيو اسد 
1559,لو خبرتي غير خبريه عن سعد كانت الناس صدقتك بس انو يكون سعد الحريري حرامي روحي يا هبلا ,Violent,خبره خبر سعد ناس صدق نوي سعد حريري حرام روح يا هبل
1358,كول هوا يا هوا اتفووووه,Violent,كول هوا يا هوا اتفووووه
2187,لازم نبيد الغوطة كلها لازم نقتل كل سني لازم نقتل كل شخص رافض ظلم بشار الأسد,Racist,لازم اباد غوطه كل لازم قتل سني لازم قتل شخص رافض ظلم بشار اسد
712,لنك رخيص ,Mockery,لنك رخيص
270,متقلة طعمية وفول المدام ما فيا تنحني,Sexual harrasment,متقله طعميه فول مدام ف يا انحني
7519,والله انك كذاب يا اصلع الرأس والاخلاق بس ماقصر الزول نتف باقي الشعر…,Mockery,الله ان كذاب يا اصلع راس خلق ماقصر زول نتف باقي شعر 
7633,يا زلمة والله اذا بتسكر تمك بترتاح وبتريح حاجتك تحكي وتبين انك انسان ناقص عقل ورسمالك كم    بيتغير اسلوبك ,Violent,يا زلم الله بتسكر تم بترتاح وبتريح حاجه حكي تبين ان انسان ناقص عقل رسمال بيتغير اسلوب
5264,ممكن تفرشي سنانك قبل كل تويت بليز في ريحة خرى قوية,Mockery,ممكن ف رش ان ني تويت بليز ريح خر قوي
1154,كل ما تشوفوا قوتجي حمار عم يجرب يلطش التيار بالنسبة لإنتخاب بري فرجوه مرشحهم الحمار شو قال علاقتهم استراتيجية مع بري مع عدم انتخابه,Mockery,تشوف قوتجي حمار عم جرب لطش تيار نسبه انتخاب بري رجا مرشح حمار شو علاقه استراتيجي بري انتخاب
1673,اهبل مين يا واطي يا ابن الهبلة انت اتعلم ثقافة الحوار الاول بدل ماجي اعلمها ليك و اربيك يا واطي يا طويل اللسان و فارغ المخ,Violent,اهبل مين يا واطي يا ابن الهبله تعلم ثقافه حوار بدل ماجي علم ل ي ربي يا واطي يا طويل لسان فارغ مخ
978,طول ما الحمار ساكت راح يبقى الكلب راكب ,Violent,طول حمار ساك ابقي كلب راكب
8641,ستبقى سوريا وفلسطين  ولبنان وبلاد الشام غجر ومزيلة لتاريخ,Racist,بقي سوريا فلسطين لبنان بلد شام غجر ي مزيل تاريخ
5714,مهو كمان يلي بينتقد أردوغان وبيمدح ملكه هاد هو يلي جد بغل,Mockery,مهو كمان بينتقد اردوغان وبيمدح ملك هادي جد غل
2431,على أساس انتي احسن من البدو اول شي يكون عندك كهربا بعدين بنعيب على الناس ,Normal,اساس ان ه احسن بدوي شي عند ك هرب بعد بنعيب ناس
1278,طيب اوك خراس,Violent,طيب اوك خراس
2368,دحلان عربي قح؟ لعن الله غباء أهلك ظلموك فأحضروك إلى هذه الدنيا ,Normal,دحلان عربي قح لعن الله غباء اهل ظلموك احضر الي دنيا
1075,لعنتوا شرف الثورة يا أندال,Violent,عنت شرف ثوره يا اندال
775,كول هوا انت يلعن زايدك وسلمانك,Violent,كول هوا لعن زايد وسلمانك
8654,كلام الرئيس واضح قال نتيجة خيانة بعض الفلسطين وهادا الشي صح كل بلد فيها خائنين,Racist,كلام رءيس واضح نتيجه خيانه فلسطين وهده شي صح بلد خاءن
3347,مو سامعة بهنيبعل القرطاجي,Violent,مو سامع بهنيبعل قرطاجي
3432,ولسه بس تموت لحتى ترامب يجي يشخ على قبرك طول بالك بس,Sexual harrasment,ولس مات لحتي ترامب يجي شاخ قبر طول بال
3530,لوُ عنُا دوله بتحترم حالها إنت ما كنت عملت نائب أو وزير,Mockery,لو عن دوله بتحترم حال انت كان عمل ناءب او وزير
308,اشترى جبران باسيل خمس عشرة بقرة زرع عشر وترك الباقي يلعبون في الثلاجة فماهي كمية الزيت الموجودة في البيض,Violent,اشتري جبران باسيل بقر زرع ترك باقي لعب ثلاجه ماء ي كميه زيت موجود بيض
1578,وئام وهاب انت مشروع فتنة درزية أنت يا من تتغنى بدرزيتك كل يوم ، كيف سمحت لك درزيتك ان تكون رأس حربة ل… ,Mockery,وءام وهاب مشروع انهي درزي انت يا تغني درزي سمح ل درزي راس حرب ل 
4393,سعد الحريري ينصر جبران باسيل ضد وزيره المرعبي في موضوع النازحين السوريين,Sexual harrasment,سعد حريري نصر جبران باسيل وزير المرعبي موضوع نازح سوري
7483,يللا املنا كبير ع يد سموه تنفصل الحجاز وتهامة عن نجد,Sexual harrasment,يللا امل كبير يد سمي انفصل حجاز تهامه وجد
3465,متعود تنشر قذارتك يا فيصل القاسم درزي قذر  ,Violent,متعود نشر قذاره يا فيصل قاسم درزي قذر
1274,مما يعني انه كان أيضا,Normal,عن ني ايض
7902,خرسي يا كلبه يا نوريه,Sexual harrasment,اخرس يا كلب يا نور
4319,اكيد قابظ شي مبلغ مرتب لسكت ,Violent,اكيد قابظ شي مبلغ مرتب سكت
4945,لا حول ولا قوة الا بالله العلي العظيم ما هذا الظلم.. اللهم عجل لوليك الفرج ,Religious affiliation,الله علي عظيم ظلم اللهم عجل ولي فرج
4600,هوا عليك و ع بلدك و ع عبودة كمان  ليش اسمكن بلد انتو اصغر قرية بسوريا اكبر من بلدك كلها يا قرباط الشرق الاوسط  لعن الله من جمعكم حثالة حقكم صرماية تنضربو فيها,Racist,هوا بلد عبوده كمان ليش اسم بلد انتوي اصغر قريه سوريا اكبر بلد كل يا قرباط شرق اوسط لعن الله جمع حثاله حق صرمايه تنضربو
1027,وإنشاءالله ستبقى نور ,Violent,وانشاءالله بقي نور
4338,جبران باسيل الوزير الملك تحياتي لك صديقي الطيب,Normal,جبران باسيل وزير ملك تحيه ل صديق طيب
543,روح عَ دمشق يامان شو بعدك ناطر هههههههههههههههههههههههههههههههههههههههههههههههههههه       ,Violent,روح ع دمشق يامان شو بعد ناطر هههههههههههههههههههههههههههههههههههههههههههههههههههه
179,رح يضل جبران باسيل كابوسكن يا مياومو الإعلام ورح يبني دولة الحقيقة وتفوتوا عالسجن,Mockery,رح ضل جبران باسيل كابوس يا مياوم اعلام ورح بني دوله حقيقه فات عالسجن
4983,حسبي الله ونعم الوكيل لا للظلم لا للاحتلال الاسرائيلي,Normal,حسب الله نعم وكيل ظلم احتلال اسراءيلي
1436,انت كول هوا  ,Sexual harrasment,كول هوا
6054,القمة الإقتصادية العربية,Normal,قمه اقتصادي عربي
4800,هو لايقصد اهانة فلسطين هو قال بسبب الخونة الي اكيد خانو القضية الفلسطينية ثم انكرو جميل ماقدمته الدول العربية لهم  تخلي العرب عن القضية الفلسطينية  يقصد الخونة الي باعو قضية  الفلسطينية ونكرو دعم العرب,Sexual harrasment,لايقصد اهانه فلسطين خاءن اكيد خانو قضيه فلسطيني انكرو جميل ماقدمته دوله عربي تخلي عرب قضيه فلسطيني قصد خاءن باعو قضيه فلسطيني كرا دعم عرب
714,ما بتحب جبران باسيل أنت حرّ بس صعبة كتير تتهموا بالسرقة,Sexual harrasment,بتحب جبران باسيل انت حر صعب كتير اتهم سرقه
4461,يا غايظهن يا جبران باسيل انت حبيب القلب,Sexual harrasment,يا غايظهن يا جبران باسيل قلب
4485,قال لي شاعر لو أن السياسيين نساء لكن ,Violent,ل شاعر ان سياسي نساء
6553,لو بتخرس ولا احلالك انقلع شقفة مجنس لاجئ عندنا,Sexual harrasment,بتخرس احلال انقلع شقف مجنس لاجء عند
4892,"السلام عليكم ،
 أنا سوري ، وأنصدم عندما أرى تعليق من سوري يقول الفلسطيني باع أرضه أو يقول يا فلسطيني حرر أرضك ، ونحن عرب واخوة
وبالمقابل نحن عندنا الجولان محتلة من أكثر من 40 سنة ولدينا جيش نتشدق بقوته وكثرة عدده ولم نرمي رصاصة على الجولان، الى درجة أن الاسرائيليين يقضون شهر العسل في الجولان لأنها أكثر منطقة آمنة في إسرائيل... ",Normal,سلام علي انا سوري وانصدم اري تعليق سوري قال فلسطيني باع ارض او قال يا فلسطيني حرر ارض نحن عرب اخوه مقابل عند جولان محتل اكثر 40 لدي جيش تشدق قوه كثره عدد رمي رصاص جولان درجه ان اسراءيلي قضي شهر عسل جولان ان اكثر منطقه امن اسراءيل 
134,انت كلب واطي بل أخلاق مجرم توأم بشار ألأسد كلب منحط غير درزي شركسي أرحل قبل أن نرحلك الي جهنم يا وليد حزا,Sexual harrasment,كلب واطي خلق مجرم توام بشار اسد كلب منحط درزي شركسي رحل ان رحل جهنم يا وليد حز
2675,ممكن أصواتكم ,Sexual harrasment,ممكن صوت
1214,على اساس ابوك وابو اشرف يا بلا شرف تفه على هيك بلد جامعنا مع زبالة البشر,Mockery,اساس اب اشرف يا بلا شرف فاه هيك بلد جامع زباله ب شر
6428,هجوم قوي من وهاب لا تدفع إلا للشر ,Violent,هجوم قوي وهاب دفع الا شر
2638,كلاب لبنان أحقر من اليهود لاشرف ولامرؤة ولادين استبقلكم الشعب السوري يوم كنتم كلاب لاجئة هائمة في  عرسال ورديتم الجميل بالرصاص عبيد المجوس والترك,Sexual harrasment,كلب لبنان حقر يهودي اشرف ولامرءه دان استبقلكم شعب سوري كان كلب لاجء هاءم عرسال رد ي جميل رصاص عبيد مجوس ترك
8942,شف الخوف على واجهه وعيونه وحركاته سبحان الله زرع فيهم الخوف ومعه سلاح هولاء عزل حسبي الله ونعم الوكيل عليكم يايهود,Sexual harrasment,شف خوف واجه عين حركه الله زرع في خوف مع سلاح هذا عزل حسب الله نعم وكيل علي يايهود
5340,لعلها الطريق لدولة المواطنة ,Normal,لعل طريق دوله مواطن
3553,مرة واحد معي بالشغل من كوبا عم يسألني عن الأكراد انو مين وشر بيفرقوا عن العرب صفنت شوي وقلتلله ما بعرف شو أقلك متل بعض تماما بس واحد بيحكي كردي والتاني بيحكي عربي,Normal,معي شغل كوبا عم سال كردي نوي مين شر بيفرقوا عرب صفن شوي وقلتلله عرف شو اقل متل تمام بيحكي كردي ال بيحكي عربي
3491,لقاء خلده      والغريب شيخ عقل وما بيعرف اذا ايران عربية او فارسية     وبأحد خطاباته قال الجمهورية الار… ,Mockery,خلد غريب شيخ عقل ما بيعرف ايران عربي ف ارسي احد خطاب جمهوري ار 
6893,شيخ العقل منتخب لا عون ولا عهد الفشل قادر يغير بالواقع أو بالنتائج، خليك تابع انت والمير والتاريخ,Mockery,شيخ عقل منتخب عون عهد فشل قادر غير واقع او نتيجه خليك تابع مير تاريخ
1865,أستاذ فارس هذا هو كلام الحق وهكذا عرفناك لا نريد عودته إلى لبنان لانه لا ينتمي إلى لبنان وشعب لبنان الشرفاء,Mockery,استاذ فارس كلام حق هكذا عرف اراد عوده الي لبنان ان انتمي الي لبنان شعب لبنان شريف
6189,مين هالحشرة ليرسل وفد هههههههه بجد مجانين انه بأخبار العاشرة بكاراكاس هذا و قد زار وفد م  ,Mockery,مين هالحشره ارسل وفد هههههههه جد مجنون خبر عاشر كاراكاس زار وفد
3028,روح بعيد ولاك سعودي وهابي كلب يا اهل الاجرام والنجاسة يا يهود خيبر,Violent,روح بعيد ولي سعودي وهابي كلب يا اهل اجرام نجس يا يهودي خيبر
8588,انشالله عن بعد,Normal,انشالله
7996,سئلت من سياسيين عرب صودف وجودهم ع طاولتي عن رأيي بالمرحوم الشهيد رفيق الحريري كان جوابي يومها فيه,Normal,سال سياسي عرب صودف وجود طاوله راي مرحوم شهيد رفيق حريري جواب يوم
3197,هاد مهبول هاد الزمان قلو خراس شي ماتلحق عصام زهر الدين,Violent,هادي مهبول هادي زمان قلو خراس شي ماتلحق عصام زهر دين
1500,جبران باسيل كذاب منافق عبد للدينار والدرهم,Mockery,جبران باسيل كذاب منافق عبد دينار درهم
3266,ما حدا رح يجلطك الا الشيخ سعد استحي ولووووو شئت ام أبيت رضيت او ستين عمرك ما ترضى الشيخ سعد الحريري  ,Religious affiliation,حدا رح جلط شيخ سعد استحيي ولووووو شاء بات رضي عمر ارض ي شيخ سعد حريري
7296,مناوي تهاجر    ,Normal,مناوي هاجر
6889,طيب ليك زحط معو انت كمان يا صرماية,Violent,طيب ل ي زحط معو كمان يا صرمايه
1823,كم كول هوا بتعمل بالتويت,Violent,كول هوا تعمل بالتويت
2413,صفقات البلديات ما فهمت والله شو بتقصد  بتقصد صفقة مارسيلينو الحرك مع جبران ,Mockery,صفقه بلديه ف هم الله شو تقصد تقصد صفقه مارسيلينو الحرك جبران
5220,يجب محاسبة كل من زرع الفتن وتاجر بالدين وسيحاسب المسلمين كل من يشوه سمعة الإسلام بتصرفاته المشينة ,Religious affiliation,و جب محاسبه زرع فتنه تاجر دين حاسب مسلم شوه سمع اسلام تصرف مشين
3401,صديقي قانون الإنتخاب المجلس المذهبي لا يسمح بتمثيل الشرائح الأقلية وهذا أصل الإنقسام ,Sexual harrasment,صديق قانون انتخاب مجلس مذهب ي سمح تمثيل شريحه اقليه اصل انقسام
4048,خربو بيروت وسرقو المال العام وخربو بيوت الناس هول بيخدمو حالن ما بيخدمو الناس ,Violent,خربو بيروت وسرقو مال عام وخربو بيت ناس هول بيخدمو حالن بيخدمو ناس
8430,ضابط شو سوي اكيد نسيت الري ,Mockery,ضابط شو سوي اكيد نسي ري
2576,أول حلقة من دون جملة جبران باسيل,Mockery,اول حلقه جمله جبران باسيل
139,يا بهيم الشاعر عم يحكي عن سوريا الارض مش عن نظام سفاح قاتل ونقطه ع السطر ,Violent,يا بهيم شاعر عم حكي سوريا ارض مش نظام سفاح قاتل نقطه سطر
717,كول هوا احلى شي,Mockery,كول هوا حلو شي
2546,هذا يكره السعودية ودايم يسبها بس حاليا يحاول يتقرب منها فقط ,Racist,كره سعودي دايم ساب حاول تقرب
8901,من أخذ بالقوة يسترجع بالقوة والدم للأسف هاذي الحقيقة,Normal,اخذ قوه استرجع قوه دم اسف هاذي حقيقه
1874,كيف هالحديث قلك في واحد عاهر القضاء ,Violent,هالحديث قل عاهر قضاء
3079,ما ازنخكون وأنتو عم تتمقلسوا ع جوليا بطرس وغناها عن الحرية ع أساس بتفهموا بالحرية الحرية اللي بتغنيها جوليا هي من النوع السامي وهو انك حر تبوس صرماية السيد أو تبوس طيزه كما تشاء ودون يملي عليك احد خيارك,Mockery,ازنخكون انتوي عم تتمقلسوا جوليا بطرس غني حريه اساس بتفهموا حريه حريه ل ي بتغنيها جوليا نوع سامي ان حر باس صرمايه سيد او باس طيزه شاء دون امل ي خير
4113,بتقتلوا القتيل وبتمشوا بجنازته يا جماعة الخوات اللبنانية والتاريخ لن يرحمكم معراب خانت لبنان,Violent,بتقتلوا قتيل وبتمشوا جنازه يا جماعه الخوات لبناني تاريخ رحم معراب خان لبنان
7852,يلعن روحو بهالبرد,Violent,لعن روحو بهالبرد
6895,بس حدا يقول مين هو هيدا النذل الطرطور يلي عمل هيك بامو تفه عليه شو واطي إلك يوم يا عاق واللهِ ولادك رح يكبوك كبة أوسخ من هيك وما تلاقي مين يلمك,Violent,حدا قال مين هيدا نذل طرطور عمل هيك بامو فاه شو واطي ولي يا عاق الله اد رح كبا كبه اوسخ هيك ما تلاقي مين ل ام
8524,المدن جبران باسيل مندوب مبيعات سوري,Sexual harrasment,مدينه جبران باسيل مندوب مبيع سوري
178,وعدت فصدقت قلت وفعلت انت لست زعيما وحسب انت تملكت ضمائرنا وقلوبنا وعقولنا ادامك الله سندا وأبا وأخا  ,Racist,عاد صدق قال فعل ل اس زعيم حسب تملك ضمير قلب عقل ادام الله سند اب اخ
1745,هل نديم دندول قطيش اعلامي لبناني كل منشوراته وحلقاته تطبيل لبني سعود لذلك كول هوا,Mockery,نديم دندول قطيش اعلام ي لبناني منشور حلقه تطبيل بني سعود كول هوا
7973,لك تضرب شو ازعر يا خروف,Violent,ل ضرب شو ازعر يا خروف
4914,ربي معاكم يا شعب فلسطين الرجوله,Normal,رب مع ني يا شعب فلسطين رجوله
6916,انت حمار يا مارتن ولا بتستحمر؟,Violent,حمار يا مارتن بتستحمر 
3527,ليكون بمعلوم معاليك لم ينجح اي علوي بالرغم من الوعود الكثيرة التي وعدنا بها التيار الحر وباقي آذار هذه مهزلة ,Mockery,كان معلوم معلاه نجح علوي رغم وعد كثير عاد تيار حر باقي اذار مهزله
130,ولك أنت سقفك زغرتا فهام بقا إذا بتدعس برا زغرتا ببزقوا عليك العالم وما بتسمع غير كلمة يا خاين,Mockery,ل انت سقف زغر هام بق اذا بتدعس بر زغر ببزقوا عالم ما تسمع كلمه يا خاين
5185,انا برأيي تسد نيعك وما تتفلسف كلهم فاسدين، انا بوافق بس تبييض وتطبيل من المتخلفين الكل… ,Mockery,راي ساد نيع ما تفلسف كل فاسد بوافق تبييض تطبيل متخلف كل 
4084,طيب الوديعة بشو بتساعد المواطن بالاخير ح تتقسم لكلاب الدولة ,Racist,طيب وديع ه شو بتساعد مواطن اخير تقسم كلب دوله
3030,يلعن شكلك بوط,Violent,لعن شكل بوط
6046,كول هوا نحن مامنشتغل عند كلبك بشار,Violent,كول هوا مامنشتغل كلب بشار
3759,طيب بما انك عم تحكي بحياة الماما روحي سأليها مين يلي حمى شرفها ومين يلي ضحى ,Violent,طيب ما ان عم حكي حياه المام روح ولي مين حمي شرف ميناء ضحي
4275,قلتلك من مبارح احتياط خراس يا ادرعي لبنان,Racist,قلتلك مبارح احتياط خراس يا درع لبنان
5183,نعم إن منعها هو خوفاً من أن يورط صغار القوم كبارهم ,Normal,ان منع خوف ان اورط صغير قوم كبير
1855,ما ع بقدر أنسى ها التغريدة بتصدقي مساء الخير زينتنا ,Normal,قدر نسي التغريده بتصدقي خير زين
3456,بكره كل البنات نفس الريحه,Racist,كره بنت ريح ه
362,جبران باسيل رجل عنيد يطالب بإسترداد حقوق المسيحيين التي أخذت منهم في الطائف لهذا هو مكروه من ترويكا الطائف والفساد,Racist,جبران باسيل رجل عنيد طالب استرداد حق مسيحي اخذ من طاءف مكروه ترويكا طاءف فساد
4609,بدنا ندعس بقلبكن ولي شعب وسخ و مجرم متلكن متل نظامكن مجرمين روحي انقبري  الله لا يقيمكن و انشالله بضلكن بهالهمة لتنتهوا,Violent,بدن دعس قلب ولي شعب وسخ مجرم متلكن متل نظام مجرم روح انقبري الله اقام انشالله بضلكن بهالهمه انتهي
3516,الاخبار من سوريا غارات اسرئيلية وانفجارات في اللاذقية واشتباكات مسلحة بين جناحي النظام في حماة وانسحاب أمريكي بذات…,Violent,خبر سوريا غاره اسرءيليه انفجار لاذقيه اشتباك مسلح جناح نظام حماه انسحاب امريكي ذات 
1761,بايخ وسخيف,Violent,بايخ سخيف
1121,يا محلى مين سرق العامود قدام مين سكّر المجرور,Mockery,يا محلي مين سرق عامود قدام مين سكر مجرور
4101,والله بعد شي نهار تاج راسك و كسارو اللواء عماد عثمان ليجيبك و يعملك عبرة و مسخرة و ممسحة والله ,Mockery,الله شي نهار تاج راس كسارو لواء عماد عثمان اجاب عمل عبر مسخر ممسح الله
1935,اسكت يا خنزير وسخ حيوان متلك حرام تظهر للعالم خايك مضبضب تحت الارض بالحفر لانه هونيك محلك اللّٰه يلعنك انت ومعلمينك,Violent,سكت يا خنزير وسخ حيوان متلك حرام اظهر عالم خايك مضبضب ارض حفره ان هونيك محل الله لعن ومعلمينك
3046,زحطي يا تفنيصة انتي بلشتي بلوك,Violent,زحطي يا تفنيصه ان ه بلشتي بلوك
1513,كوووووووول خرااااااا ولاااااك ,Violent,كوووووووول خرااااااا ولاااااك
721,عم تحكي عن حالك يا خرا,Violent,عم حكي حال يا خر
4448,انقبر احترم حالك يا واطي واغبى واهبل من العونية ما في,Violent,انقبر احترم حال يا واطي اغبي اهبل العونيه
5780,كل واحد درزي عايش و عمبيشتغل بقطر يلا لبرا ما بدنا ياه لنشوف اذا فيك تتحمل مسؤوليتون يا وئام ,Religious affiliation,درزي عايش عمبيشتغل قطر يلا برا بدن ياه شاف في تحمل مسءوليتون يا وءام
2408,طيب كول هوا واحط من هون,Violent,طيب كول هوا حط هون
5911,لو في دولة تحترم نفسها كنت إنت و جماعتك يلّي أطلقتوا النار على الدولة بالسجن اليوم ,Normal,دوله احترم نفس كان انت جماعه ولي اطلقتوا نار دوله سجن
1951,الله على جمالك وطبيعتك يا باريس ❤,Normal,الله جمال طبيعه يا باريس 
8791,ايا عرب الي بتحكي فيها انها حمتنا وين كنتو وقت ترامب سجل القدس عاصمه لاسرائيل ولا دوله عربيه اتحركت ولا حدا دافع عن القضيه الفلسطينيه الا الجزائر اما الباقي كلو عالمواقع للاسف,Violent,عرب بتحكي حمي ين كنتو وقت ترامب سجل قدس عاصمه اسراءيل دوله عربي اتحركت حدا دافع قضيه فلسطيني جزاءر باقي كلو عالمواقع اسف
5090,دويلة قطر بحق دولة مارقة فاسدة سيئة السمعة ,Violent,دويله قطر حق دوله مارق فاسد سيء سمعه
3808,الفيمينستس صاروا يكرهوا العلاقات أكتر من السلفية,Mockery,الفيمينستس صار كره علاقه اكتري سلفي ه
3189,طيب وهاي عملتي تجميل لوجك وصرتي وحدة جديدة وصاروا ولادك يبكوا بدن إمن شو بتعملي,Violent,طيب وهاي عامل تجميل لوج صره وحد جديد صار اد بك ي بدن امن شو تعمل
1847,من كان بيته من زجاج فلا يرمي الناس بالحجر المخبراتي والازعر لا يحق له الكلام ,Normal,بيت زجاج لا رمي ناس حجر المخبراتي ازعر حق كلام
8920,الصهاينة ليس لهم حل إلا ما أخذ بالقوة يعود بالقوة السن بالسن والعين بالعين,Normal,صهيوني حل الا اخذ قوه عاد قوه سن سن عين عين
